"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2725206,"October 7, 2023",Illinois,Chicago,"5012 N Winthrop Ave",0,4,0,0,0,N/A
2725669,"October 7, 2023",California,Inglewood,"3333 W Manchester Blvd",2,3,0,0,0,N/A
2725422,"October 6, 2023",Nevada,Reno,"10640 N McCarran Blvd",0,7,0,0,0,N/A
2725126,"October 6, 2023","South Carolina",Florence,"1100 block of Oakland Ave",0,4,0,0,0,N/A
2725133,"October 6, 2023","District of Columbia",Washington,"100 block of Quincy Pl NE",0,5,0,0,0,N/A
2723247,"October 4, 2023",Pennsylvania,Philadelphia,"7500 block of Whitaker Ave",0,4,1,0,0,N/A
2723237,"October 4, 2023",Minnesota,"Saint Paul","1200 block of Hazelwood St",1,3,0,0,0,N/A
2723347,"October 4, 2023",California,"Los Angeles","S Central Ave and E 90th St",1,4,0,0,0,N/A
2722363,"October 3, 2023",Maryland,Baltimore,"1800 Argonne Dr",0,5,0,0,2,N/A
2720893,"October 2, 2023",Pennsylvania,Philadelphia,"6115 Shelbourne St",3,1,1,0,0,N/A
2720910,"October 1, 2023",Ohio,Toledo,"500 block of Leach St",0,4,0,0,1,N/A
2720112,"October 1, 2023",Kentucky,Lexington,"125 N Mill St",0,4,0,0,1,N/A
2720476,"October 1, 2023",Illinois,Chicago,"50 block of S Whipple St",2,2,0,0,0,N/A
2720136,"October 1, 2023",Nebraska,Omaha,"N 24th St and Decatur St",1,5,0,0,0,N/A
2720311,"October 1, 2023",Texas,Houston,"8700 block of Cypressbrook Dr",2,2,0,0,1,N/A
2720526,"October 1, 2023","New Jersey","Jersey City","260 Culver Ave",0,5,0,0,0,N/A
2720419,"September 30, 2023",Texas,Laredo,"717 E Travis St",0,4,0,0,0,N/A
2720128,"September 30, 2023",California,"San Pedro","1230 N Park Western Dr",1,3,0,0,0,N/A
2719793,"September 29, 2023",Louisiana,"Lake Charles","2212 Broad St",1,3,0,0,1,N/A
2717131,"September 27, 2023","District of Columbia",Washington,"2423 14th St NE",2,3,0,0,0,N/A
2715316,"September 25, 2023",Texas,Dallas,"4800 block of Elsie Faye Heggins St",1,3,0,0,1,N/A
2715722,"September 25, 2023",Florida,Jacksonville,"4229 Moncrief Rd W",0,6,0,0,0,N/A
2714225,"September 24, 2023",Oklahoma,"Oklahoma City","SW 26th St and S Agnew Ave",0,4,0,0,0,N/A
2714677,"September 24, 2023","South Carolina",Columbia,"225 Saddletrail Rd",3,1,0,0,3,N/A
2714319,"September 23, 2023",Florida,Jacksonville,"8846 A C Skinner Pkwy",3,1,0,0,0,N/A
2714462,"September 23, 2023",Tennessee,Covington,"2951 Hwy 51 N",1,4,0,0,0,N/A
2713920,"September 23, 2023",Virginia,Chesapeake,"1300 block of Drayton Rd",1,4,0,0,0,N/A
2713404,"September 23, 2023",California,Downey,"11018 Downey Ave",0,4,0,0,1,N/A
2714081,"September 23, 2023","District of Columbia",Washington,"1360 H St NE",1,3,0,0,0,N/A
2713882,"September 22, 2023",Minnesota,Minneapolis,"Lake St and Lyndale Ave",0,4,0,0,0,N/A
2713409,"September 22, 2023",California,Pomona,"1500 E 1st St",1,5,0,0,0,N/A
2710366,"September 18, 2023","North Carolina","Spring Lake","214 S 6th St",1,3,0,0,0,N/A
2709172,"September 18, 2023","North Carolina",Charlotte,"200 block of N Tryon St",0,4,0,0,0,N/A
2708659,"September 17, 2023",Texas,"El Paso","12300 Tierra Inca Dr",2,3,0,1,1,N/A
2709153,"September 17, 2023",Illinois,Romeoville,"512 Concord Ave",5,0,1,0,0,N/A
2708996,"September 17, 2023",Massachusetts,Boston,"50 Ames St",0,5,0,0,1,N/A
2708490,"September 16, 2023",Indiana,"South Bend","Huron St and Philippa St",0,4,0,0,2,N/A
2708514,"September 16, 2023",Colorado,Denver,"1946 Market St",0,5,0,0,1,N/A
2710554,"September 15, 2023",Mississippi,Tchula,"14592 Martin Luther King Dr",1,6,0,0,0,N/A
2706325,"September 13, 2023",Pennsylvania,Philadelphia,"W York St and N Marshall St",0,4,0,0,0,N/A
2704430,"September 11, 2023",Florida,"Palm Bay","1200 Hadley Cir SE",0,4,0,0,0,N/A
2703680,"September 10, 2023",Michigan,Detroit,"8600 block of Rosemont Ave",2,2,0,0,0,N/A
2703436,"September 10, 2023",Indiana,Indianapolis,"800 block of W 29th St",0,5,0,0,0,N/A
2704593,"September 10, 2023","New Jersey","Jersey City","Martin Luther King Dr and Orient Ave",0,5,0,0,0,N/A
2702902,"September 9, 2023",Illinois,Chicago,"6500 block of S King Dr",0,4,0,0,0,N/A
2703975,"September 9, 2023","South Carolina","Rock Hill","800 block of Brunswick Dr",0,4,0,0,2,N/A
2701771,"September 7, 2023",Texas,Dallas,"5300 block of Colonial Ave",1,3,0,0,1,N/A
2700661,"September 6, 2023","New York",Brooklyn,"56 Marcus Garvey Blvd",0,4,0,0,3,N/A
2701037,"September 6, 2023",Mississippi,Jackson,"3400 block of Lampton Ave",1,3,0,0,0,N/A
2701233,"September 6, 2023",Texas,"El Paso (Socorro)","253 Flor Margarita Blvd",0,4,0,0,0,N/A
2699229,"September 5, 2023",Illinois,Chicago,"4718 W Gladys Ave",0,4,0,0,0,N/A
2699475,"September 4, 2023",Georgia,Dublin,"100 block of E Jackson St",1,3,0,0,3,N/A
2698496,"September 4, 2023",Alabama,Birmingham,"930 5th Ave N",2,3,0,0,0,N/A
2698171,"September 3, 2023",Georgia,Atlanta,"3516 Adkins Rd NW",0,5,1,0,0,N/A
2698160,"September 3, 2023",Illinois,Freeport,"300 block of E Pleasant St",1,3,0,0,0,N/A
2698786,"September 3, 2023","North Carolina","High Point","2900 block of Creekview Ct",1,3,0,0,0,N/A
2698107,"September 3, 2023",Texas,Galveston,"4002 Mendocino Dr",2,2,0,0,0,N/A
2697278,"September 2, 2023",Massachusetts,Lynn,"189 Essex St",2,5,0,0,0,N/A
