date,men_20_24_rate,women_20_24_rate,men_25plus_rate,women_25plus_rate,men_25_34_rate,women_25_34_rate,men_35_44_rate,women_35_44_rate,men_45_54_rate,women_45_54_rate,men_55plus_rate,women_55plus_rate,20_plus_overall_rate,20_plus_men_rate,20_plus_women_rate
1954-05-01,11.0,7.3,4.8,5.6,5.6,6.6,4.5,5.9,4.5,5.2,4.7,,6.144444444444445,5.8500000000000005,6.119999999999999
1954-06-01,10.5,6.7,4.7,5.7,4.9,7.1,4.5,5.8,4.6,5.4,4.8,,6.033333333333333,5.666666666666667,6.140000000000001
1954-07-01,10.6,7.2,4.7,5.5,5.1,6.7,4.2,5.6,4.5,5.0,4.9,,5.977777777777778,5.666666666666667,6.0
1954-08-01,11.0,6.6,5.0,5.6,5.6,7.2,4.4,6.1,4.5,4.7,4.8,,6.1,5.883333333333333,6.04
1954-09-01,11.6,9.6,5.0,5.4,5.2,7.3,5.6,5.8,4.6,4.2,4.8,,6.522222222222222,6.133333333333333,6.460000000000001
1954-10-01,10.9,6.7,4.9,4.9,5.9,6.7,4.4,5.0,4.6,4.2,5.1,,5.9444444444444455,5.966666666666668,5.5
1954-11-01,11.5,7.3,4.3,4.9,4.6,6.0,3.8,4.9,4.1,4.4,4.7,,5.699999999999999,5.5,5.5
1954-12-01,10.2,5.7,4.1,4.6,3.5,6.5,4.1,4.2,3.9,3.9,4.7,,5.188888888888889,5.083333333333333,4.9799999999999995
1955-01-01,9.8,6.0,3.9,4.7,3.6,5.4,3.7,4.5,3.5,4.1,4.7,,5.033333333333334,4.866666666666666,4.94
1955-02-01,8.0,6.8,3.8,4.2,3.9,5.0,3.7,4.3,3.4,3.4,4.4,,4.766666666666667,4.533333333333334,4.74
1955-03-01,8.1,5.5,3.8,4.0,4.1,5.0,3.5,4.5,3.4,3.1,4.2,,4.6000000000000005,4.516666666666667,4.42
1955-04-01,8.4,5.6,4.0,4.0,4.3,6.0,3.5,3.9,4.1,3.4,4.3,,4.833333333333333,4.766666666666667,4.58
1955-05-01,8.2,5.9,3.3,4.0,2.8,5.0,3.4,4.0,3.2,3.0,4.0,,4.388888888888889,4.1499999999999995,4.38
1955-06-01,8.1,6.2,3.2,4.0,2.6,5.2,3.0,3.5,3.0,4.0,4.4,,4.444444444444445,4.05,4.58
